2023-08-18 14:33:09 DEBUG Logger Initialized
2023-08-18 14:33:09 INFO running the adaptation effector module
2023-08-18 14:33:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:34:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:35:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:36:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:37:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:38:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:39:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:40:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:41:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:42:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:43:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:44:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:45:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:46:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:47:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:48:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:49:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:50:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:51:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:52:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:53:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:54:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:55:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:56:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:57:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:58:09 INFO Inside the Analyzer: Performing the analysis
2023-08-18 14:59:10 INFO Inside the Analyzer: Performing the analysis
2023-08-18 15:00:10 INFO Inside the Analyzer: Performing the analysis
2023-08-18 15:01:10 INFO Inside the Analyzer: Performing the analysis
2023-08-18 15:02:10 INFO Inside the Analyzer: Performing the analysis
2023-08-18 15:03:10 INFO Inside the Analyzer: Performing the analysis
2023-08-18 15:04:10 INFO Inside the Analyzer: Performing the analysis
2023-08-18 15:05:10 INFO Inside the Analyzer: Performing the analysis
2023-08-18 15:06:10 INFO Inside the Analyzer: Performing the analysis
