2023-08-16 12:01:19 DEBUG Logger Initialized
2023-08-16 12:01:19 INFO running the adaptation effector module
2023-08-16 12:01:19 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:02:19 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:03:19 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:04:19 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:05:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:06:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:07:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:08:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:09:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:10:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:11:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:12:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:13:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:14:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:15:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:16:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:17:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:18:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:19:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:20:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:21:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:22:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:23:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:24:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:25:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:26:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:27:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:28:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:29:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:30:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:31:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:32:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:33:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:34:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:35:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:36:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:37:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:38:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:39:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:40:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:41:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:42:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:43:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:44:20 INFO Inside the Analyzer: Performing the analysis
